model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,5b3b6f9c,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9534  rc:0.9581  auc:0.9995 ap:0.9955 f1: 0.9558 pred_right: 454919 pred_wrong:14881 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,20.861761298179626,0.33080908931902986,142.751953125,0.7377647915609121,5999.0,1.0,RQ2_ablations_components,1
MSTGAD,bafa7895,FITS_Legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9475  rc:0.9715  auc:0.9995 ap:0.9944 f1: 0.9594 pred_right: 454617 pred_wrong:15183 actu_right: 454992 actu_wrong: 14808,14897,1578,13319,19.49622184276581,0.24150928799512056,143.1455078125,0.6057284182166396,5894.68359375,1.0,RQ2_ablations_components,1
MSTGAD,16c60c18,FITS_Legendre,false,Legendre-style,0.0,1.0,TexFilter,linear_attn,pr:0.9169  rc:0.9720  auc:0.9987 ap:0.9908 f1: 0.9436 pred_right: 454102 pred_wrong:15698 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,21.131801958084107,0.3120240238859788,142.751953125,0.7238201788454461,5928.3515625,1.0,RQ2_ablations_components,1
MSTGAD,cfe7a0cd,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,no_attn,pr:0.8801  rc:0.8651  auc:0.9971 ap:0.9742 f1: 0.8725 pred_right: 455243 pred_wrong:14557 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,18.952394866943358,0.2407303364487658,146.25439453125,0.6346205208796994,6361.03125,1.0,RQ2_ablations_components,1
MSTGAD,4dc5dba4,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9400  rc:0.9706  auc:0.9994 ap:0.9946 f1: 0.9551 pred_right: 454510 pred_wrong:15290 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.50923617362976,0.23085745495030854,142.751953125,0.877147878762912,6363.9765625,1.0,RQ2_ablations_components,2
MSTGAD,60b51d07,FITS_Legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9349  rc:0.9711  auc:0.9994 ap:0.9937 f1: 0.9526 pred_right: 454418 pred_wrong:15382 actu_right: 454992 actu_wrong: 14808,14897,1578,13319,19.48409730911255,0.2310843571729693,143.1455078125,0.6164747592912886,5876.68359375,1.0,RQ2_ablations_components,2
MSTGAD,b2143238,FITS_Legendre,false,Legendre-style,0.0,1.0,TexFilter,linear_attn,pr:0.9224  rc:0.9703  auc:0.9986 ap:0.9921 f1: 0.9458 pred_right: 454224 pred_wrong:15576 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,20.88722972869873,0.36670673076923077,142.751953125,0.7228834620846947,5998.95703125,1.0,RQ2_ablations_components,2
MSTGAD,69874b12,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,no_attn,pr:0.8905  rc:0.8752  auc:0.9973 ap:0.9749 f1: 0.8828 pred_right: 455246 pred_wrong:14554 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.061093592643736,0.23693797202389494,146.25439453125,0.6282385537052264,6756.53515625,1.0,RQ2_ablations_components,2
MSTGAD,4c0a7064,FITS_Legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9394  rc:0.9689  auc:0.9986 ap:0.9940 f1: 0.9539 pred_right: 454527 pred_wrong:15273 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.508522272109985,0.23372729856576493,142.751953125,0.8585083361471287,6102.953125,1.0,RQ2_ablations_components,3
MSTGAD,6828ea91,FITS_Legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9483  rc:0.9574  auc:0.9995 ap:0.9946 f1: 0.9528 pred_right: 454850 pred_wrong:14950 actu_right: 454992 actu_wrong: 14808,14897,1578,13319,21.06242138385773,0.23358657433983926,143.1455078125,0.6737092058639439,6047.875,1.0,RQ2_ablations_components,3
