model,hash_id,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,9fc2e8e2,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9534  rc:0.9581  auc:0.9995 ap:0.9955 f1: 0.9558 pred_right: 454919 pred_wrong:14881 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,21.24055708885193,0.2564277657685132,142.7529296875,0.720450429226583,6190.828125,1.0,RQ2_basis_comparison,1
MSTGAD,88f49a5e,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9133  rc:0.9359  auc:0.9987 ap:0.9877 f1: 0.9245 pred_right: 454626 pred_wrong:15174 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,18.013441367149355,0.2139101854011194,142.7529296875,0.6388469076320854,6427.0703125,1.0,RQ2_basis_comparison,1
MSTGAD,74d0506e,FITS_Legendre,hermite,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.0324  rc:0.8204  auc:0.5116 ap:0.5007 f1: 0.0623 pred_right: 94927 pred_wrong:374873 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,18.380622344858505,0.22617315036147387,142.7529296875,0.6273565418274066,6192.1796875,1.0,RQ2_basis_comparison,1
MSTGAD,a6ee03bb,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9289  rc:0.8023  auc:0.9972 ap:0.9704 f1: 0.8609 pred_right: 457010 pred_wrong:12790 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,18.646890687942506,0.1958816756063433,142.7529296875,0.8053692966596951,6217.22265625,1.0,RQ2_basis_comparison,1
MSTGAD,85394db3,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9400  rc:0.9706  auc:0.9994 ap:0.9946 f1: 0.9551 pred_right: 454510 pred_wrong:15290 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,21.345958080291748,0.24262375771383468,142.7529296875,0.7149251402450895,5916.98828125,1.0,RQ2_basis_comparison,2
MSTGAD,82e29f22,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9199  rc:0.9358  auc:0.9992 ap:0.9899 f1: 0.9278 pred_right: 454736 pred_wrong:15064 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.182386655807495,0.22412243918628014,142.7529296875,0.7039438295857093,6177.21875,1.0,RQ2_basis_comparison,2
MSTGAD,e2a9c427,FITS_Legendre,hermite,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.0316  rc:0.9976  auc:0.5005 ap:0.5000 f1: 0.0612 pred_right: 1620 pred_wrong:468180 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.772718583836276,0.21760541212955656,142.7529296875,0.883790874590693,6008.9453125,1.0,RQ2_basis_comparison,2
MSTGAD,ee8158f4,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9349  rc:0.8091  auc:0.9969 ap:0.9687 f1: 0.8675 pred_right: 456985 pred_wrong:12815 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.0398930311203,0.23351813928404852,142.7529296875,0.6577966133844702,6406.37890625,1.0,RQ2_basis_comparison,2
MSTGAD,9e2e1253,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9394  rc:0.9689  auc:0.9986 ap:0.9940 f1: 0.9539 pred_right: 454527 pred_wrong:15273 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,21.129985294342042,0.37686945568132896,142.7529296875,0.7221804146925426,6159.2734375,1.0,RQ2_basis_comparison,3
MSTGAD,958dcbd5,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9316  rc:0.8909  auc:0.9989 ap:0.9878 f1: 0.9108 pred_right: 455640 pred_wrong:14160 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,18.133003540039063,0.21815750349813434,142.7529296875,0.6707372128895038,6309.02734375,1.0,RQ2_basis_comparison,3
MSTGAD,49d77748,FITS_Legendre,hermite,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.0315  rc:0.9996  auc:0.4999 ap:0.5000 f1: 0.0611 pred_right: 119 pred_wrong:469681 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,18.202202179852655,0.21965222714552238,142.7529296875,0.6879516365060029,6106.34765625,1.0,RQ2_basis_comparison,3
MSTGAD,f5846c49,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9441  rc:0.7975  auc:0.9965 ap:0.9710 f1: 0.8646 pred_right: 457292 pred_wrong:12508 actu_right: 454992 actu_wrong: 14808,14937,1618,13319,19.903632225990297,0.2320837220149254,142.7529296875,0.6737862060319132,5966.2109375,1.0,RQ2_basis_comparison,3
