model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,33c72f8b,TT,Eadro,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9264  rc:0.8564  auc:0.9982 ap:0.9811 f1: 0.8900 pred_right: 456110 pred_wrong:13690 actu_right: 454992 actu_wrong: 14808,172686,159367,13319,17.875963191986084,0.1890513300758826,119.94580078125,0.5968057329153769,6455.4375,5289.568709189265,1675.5871213150588,0.01069548447337802,0.038792372639499494,1.0,RQ1_main,1
MSTGAD,38edaf92,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9547  rc:0.9658  auc:0.9995 ap:0.9960 f1: 0.9602 pred_right: 454820 pred_wrong:14980 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,20.08237494468689,0.2273105345418341,138.791015625,0.6559017741994935,6053.86328125,4399.268173010963,1524.6185318227979,0.012034842596050135,0.042633615322967076,1.0,RQ1_main,1
MSTGAD,02b72684,TT,Eadro,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9192  rc:0.8524  auc:0.9975 ap:0.9798 f1: 0.8846 pred_right: 456068 pred_wrong:13732 actu_right: 454992 actu_wrong: 14808,172686,159367,13319,18.733438634872435,0.2021112698227612,119.94580078125,0.6450324189922977,6355.49609375,4947.769616592567,1550.3096752288059,0.011499019640931087,0.04192710723449935,1.0,RQ1_main,2
MSTGAD,a03f3b71,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9462  rc:0.9585  auc:0.9995 ap:0.9947 f1: 0.9523 pred_right: 454800 pred_wrong:15000 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,19.4841880941391,0.16966210769320464,138.791015625,0.7586258971458462,5795.83203125,5894.068001372897,1318.1727696909213,0.009521267821634951,0.04931068331448,1.0,RQ1_main,2
MSTGAD,e2209f84,TT,Eadro,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9107  rc:0.8682  auc:0.9978 ap:0.9801 f1: 0.8890 pred_right: 455682 pred_wrong:14118 actu_right: 454992 actu_wrong: 14808,172686,159367,13319,18.263184542655946,0.1968982087758324,119.94580078125,0.64866505862651,6185.29296875,5078.766364698091,1541.6276654663814,0.01115448042535968,0.042163228810723145,1.0,RQ1_main,3
MSTGAD,654644f7,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9354  rc:0.9563  auc:0.9989 ap:0.9930 f1: 0.9457 pred_right: 454661 pred_wrong:15139 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,20.918219375610352,0.1914153457098522,138.791015625,0.9346360454055663,5936.21484375,5224.241537644543,1069.9351955402815,0.010518081831410668,0.060751342951361816,1.0,RQ1_main,3
MSTGAD,50b2c25d,TT,AnoFusion,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.8848  rc:0.9500  auc:0.9989 ap:0.9849 f1: 0.9162 pred_right: 453902 pred_wrong:15898 actu_right: 454992 actu_wrong: 14808,42145,28826,13319,23.04671025753021,0.22027168843283582,104.6044921875,1.2440742088650727,5619.3046875,4539.848071782112,803.8105708438941,0.01690761426072761,0.08086482357622972,1.0,RQ1_main,1
MSTGAD,6ce493c3,TT,encoder_decoder,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9202  rc:0.9721  auc:0.9995 ap:0.9934 f1: 0.9454 pred_right: 454156 pred_wrong:15644 actu_right: 454992 actu_wrong: 14808,105247,91928,13319,85.14111053943634,0.5636948034766074,706.173828125,5.667891198540391,7195.4296875,1774.0096127061402,176.43246226348214,0.05996247102502063,0.3684129279051254,1.0,RQ1_main,1
MSTGAD,41f87571,TT,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9513  rc:0.9738  auc:0.9997 ap:0.9966 f1: 0.9624 pred_right: 454641 pred_wrong:15159 actu_right: 454992 actu_wrong: 14808,44454,31135,13319,19.611570162773134,0.1936636818536524,434.4970703125,0.7030548239137494,6541.7734375,5163.590769464349,1422.3641826866688,0.015770614604388476,0.04569856355439371,1.0,RQ1_main,1
MSTGAD,7259fe4b,TT,FreTS,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9364  rc:0.7851  auc:0.9970 ap:0.9683 f1: 0.8541 pred_right: 457384 pred_wrong:12416 actu_right: 454992 actu_wrong: 14808,16357,3038,13319,20.07761303424835,0.19171784463350316,216.81396484375,1.0653131864922192,7279.66796875,5215.998551995235,938.6910935484827,0.014380467949192122,0.06924535712199424,1.0,RQ1_main,1
