model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,bafa7895,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9547  rc:0.9658  auc:0.9995 ap:0.9960 f1: 0.9602 pred_right: 454820 pred_wrong:14980 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,20.027530784606935,0.2218929251354406,138.791015625,0.6620371656494491,6224.89453125,4506.6781619540725,1510.4892170502453,0.012046455959140502,0.04303241576721419,1.0,RQ2_ablations_components,1
MSTGAD,5c5ad2ca,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,no_attn,pr:0.8862  rc:0.8980  auc:0.9979 ap:0.9787 f1: 0.8921 pred_right: 454794 pred_wrong:15006 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.195356764793395,0.18739794305216706,138.78759765625,0.5440713754340784,6287.16015625,5336.237867464875,1837.994140386758,0.010065330919274943,0.035364639403215097,1.0,RQ2_ablations_components,1
MSTGAD,8314ec84,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9455  rc:0.8235  auc:0.9974 ap:0.9749 f1: 0.8803 pred_right: 456902 pred_wrong:12898 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.175182609558107,0.204936321622058,138.791015625,0.5809381142275752,6106.16796875,4879.564501231716,1721.353747515114,0.011146998873827788,0.03776097742479239,1.0,RQ2_ablations_components,1
MSTGAD,bda56b9d,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,nofilter,linear_attn,pr:0.9508  rc:0.9589  auc:0.9996 ap:0.9955 f1: 0.9548 pred_right: 454867 pred_wrong:14933 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.010326948165893,0.18824499329524252,138.791015625,0.5925465533435003,6232.96875,5312.226277548879,1687.6311141418423,0.010355545326164587,0.03851552596732752,1.0,RQ2_ablations_components,1
MSTGAD,c8dd3f98,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9472  rc:0.9636  auc:0.9993 ap:0.9944 f1: 0.9553 pred_right: 454735 pred_wrong:15065 actu_right: 454992 actu_wrong: 14808,14817,1498,13319,17.860918378829957,0.2091986777724957,138.7900390625,0.5996761311072296,6219.8515625,4780.14493517738,1667.5667883489389,0.01125875903969906,0.038978948521969925,1.0,RQ2_ablations_components,1,False
MSTGAD,19a41031,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9462  rc:0.9585  auc:0.9995 ap:0.9947 f1: 0.9523 pred_right: 454800 pred_wrong:15000 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.864480566978454,0.20366331466166762,138.791015625,0.541309771116237,6915.4296875,4910.064444650888,1847.3710495524515,0.011040079129522349,0.0351851351225554,1.0,RQ2_ablations_components,2,True
MSTGAD,9334969d,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,no_attn,pr:0.8893  rc:0.8422  auc:0.9969 ap:0.9697 f1: 0.8651 pred_right: 455776 pred_wrong:14024 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,17.179564971923828,0.19182347539645522,138.78759765625,0.809572347954138,5673.6875,5213.1262762976685,1235.2200547944724,0.010318664300263817,0.05262220261701897,1.0,RQ2_ablations_components,2,True
MSTGAD,5c0b3726,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9430  rc:0.8085  auc:0.9973 ap:0.9738 f1: 0.8706 pred_right: 457103 pred_wrong:12697 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.435978226661682,0.19839206349562286,138.791015625,0.6008250705136498,6174.6484375,5040.524214427877,1664.3779513812442,0.010768026834320174,0.039053629583387234,1.0,RQ2_ablations_components,2,True
MSTGAD,004b1206,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,nofilter,linear_attn,pr:0.9513  rc:0.9571  auc:0.9995 ap:0.9950 f1: 0.9542 pred_right: 454902 pred_wrong:14898 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.31546833515167,0.21808724649738087,138.791015625,0.5353633079134638,6029.421875,4585.320856953501,1867.8904310745932,0.012058152902463438,0.034798615014375145,1.0,RQ2_ablations_components,2,True
MSTGAD,f95facc7,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9438  rc:0.9662  auc:0.9990 ap:0.9940 f1: 0.9549 pred_right: 454640 pred_wrong:15160 actu_right: 454992 actu_wrong: 14808,14817,1498,13319,18.09542911052704,0.23791335726714982,138.7900390625,0.5381998594264349,5715.7421875,4203.210830559266,1858.045821613016,0.012147974978739302,0.03498299086271827,1.0,RQ2_ablations_components,2,False
MSTGAD,53399006,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9354  rc:0.9563  auc:0.9989 ap:0.9930 f1: 0.9457 pred_right: 454661 pred_wrong:15139 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.64385504722595,0.17307158337668627,138.791015625,0.761475943533616,5830.2109375,5777.956036974154,1313.2391226432146,0.009552859116059574,0.04949593632968504,1.0,RQ2_ablations_components,3,True
MSTGAD,2c75a8c8,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,no_attn,pr:0.8673  rc:0.8175  auc:0.9962 ap:0.9642 f1: 0.8417 pred_right: 455842 pred_wrong:13958 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,17.30489847660065,0.2128917181669776,138.78759765625,0.5826283404528753,5753.34375,4697.223586760988,1716.3600370395698,0.011332864833182719,0.037870842129436894,1.0,RQ2_ablations_components,3,True
MSTGAD,47ca5702,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9401  rc:0.7878  auc:0.9969 ap:0.9706 f1: 0.8573 pred_right: 457391 pred_wrong:12409 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.643724417686464,0.20041679093265644,138.791015625,0.546619265279321,6393.0234375,4989.6018958611985,1829.426922025887,0.010814590247121607,0.03553025224315586,1.0,RQ2_ablations_components,3,True
MSTGAD,1b0d4a0b,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,nofilter,linear_attn,pr:0.9419  rc:0.9569  auc:0.9995 ap:0.9939 f1: 0.9494 pred_right: 454756 pred_wrong:15044 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,18.466326313018797,0.17685549677992252,138.791015625,0.7986659160574596,6119.8828125,5654.33372559741,1252.087988099464,0.00962951651642161,0.05191328454373488,1.0,RQ2_ablations_components,3,True
