model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,e7b899d6,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,TexFilter,linear_attn,pr:0.9242  rc:0.9457  auc:0.9998 ap:0.9738 f1: 0.9349 pred_right: 16368 pred_wrong:132 actu_right: 16371 actu_wrong: 129,44110,1114,42996,7.057936592102051,0.35599055863110807,43.03369140625,0.4518324218677035,3257.41015625,2809.0632623665756,2213.2099238615506,0.01762135465696053,0.02936910742140073,1.0,RQ2_ablations_components,1
MSTGAD,dc0ebebe,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9542  rc:0.9690  auc:0.9999 ap:0.9903 f1: 0.9615 pred_right: 16369 pred_wrong:131 actu_right: 16371 actu_wrong: 129,44070,1074,42996,6.718693127632141,0.3020754105590164,43.02978515625,0.4557157375109958,3199.4765625,3310.4316506577434,2194.3503760957374,0.014679807689231238,0.02962152293821473,1.0,RQ2_ablations_components,1
MSTGAD,3843d7d0,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,TexFilter,linear_attn,pr:0.9333  rc:0.9767  auc:0.9949 ap:0.9691 f1: 0.9545 pred_right: 16365 pred_wrong:135 actu_right: 16371 actu_wrong: 129,44110,1114,42996,6.763562655448913,0.3058479341004184,43.03369140625,0.501881868484415,3223.67578125,3269.59867471811,1992.5007512620534,0.014968656666775628,0.032622321451486976,1.0,RQ2_ablations_components,1
MSTGAD,620d595f,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,TexFilter,no_attn,pr:0.9106  rc:0.8682  auc:0.9795 ap:0.9447 f1: 0.8889 pred_right: 16377 pred_wrong:123 actu_right: 16371 actu_wrong: 129,44110,1114,42996,6.348315033912659,0.27129696460092273,43.1826171875,0.3672932979950845,3249.22265625,3685.99774594234,2722.6197849474047,0.013295721641162021,0.02387406436968049,1.0,RQ2_ablations_components,1
MSTGAD,9f07f733,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,no_attn,pr:0.8692  rc:0.8760  auc:0.9954 ap:0.9566 f1: 0.8726 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,44070,1074,42996,6.574242000579834,0.3048453596061529,43.1787109375,0.4210538373902681,3187.890625,3280.3517209248557,2374.993198489997,0.01476152684820874,0.027368499430367423,1.0,RQ2_ablations_components,1
MSTGAD,78af3ddf,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9407  rc:0.9845  auc:0.9975 ap:0.9797 f1: 0.9621 pred_right: 16365 pred_wrong:135 actu_right: 16371 actu_wrong: 129,44070,1074,42996,6.902373433113098,0.2733556698413217,43.02978515625,0.3792894720247386,3208.34765625,3658.237638094293,2636.5087189522,0.013173009729653292,0.02465381568160801,1.0,RQ2_ablations_components,1
MSTGAD,79eeebe7,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9474  rc:0.9767  auc:0.9921 ap:0.9842 f1: 0.9618 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,44070,1074,42996,6.957267456054687,0.3637455622735169,43.02978515625,0.4685556396922165,3260.1875,2749.174433221138,2134.21825560968,0.017586370444799996,0.03045611657999407,1.0,RQ2_ablations_components,2
MSTGAD,4c7d6597,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9542  rc:0.9690  auc:0.9999 ap:0.9897 f1: 0.9615 pred_right: 16369 pred_wrong:131 actu_right: 16371 actu_wrong: 129,44070,1074,42996,7.047790699005127,0.3254927539996451,43.02978515625,0.430071346786873,3256.04296875,3072.2650126985322,2325.1955924781987,0.01578444561245879,0.027954637541146743,1.0,RQ2_ablations_components,3
MSTGAD,bafa7895,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9475  rc:0.9715  auc:0.9995 ap:0.9944 f1: 0.9594 pred_right: 454617 pred_wrong:15183 actu_right: 454992 actu_wrong: 14808,14897,1578,13319,20.296148686408998,0.23294777240599884,143.146484375,0.6345599718674179,5951.8046875,4292.807738281888,1575.895178287318,0.012451990226190262,0.04124639817138216,1.0,RQ2_ablations_components,1
MSTGAD,5c5ad2ca,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,no_attn,pr:0.9035  rc:0.8829  auc:0.9980 ap:0.9805 f1: 0.8931 pred_right: 455329 pred_wrong:14471 actu_right: 454992 actu_wrong: 14808,14897,1578,13319,19.203120994567872,0.23537250085210965,143.826171875,0.6657747806281912,7728.0703125,4248.584674844088,1502.0094318629056,0.012374473859798812,0.04327536074083243,1.0,RQ2_ablations_components,1
