model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),fewshot_ratio,experiment_name,random_seed
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9619  rc:0.7829  auc:0.9766 ap:0.9558 f1: 0.8632 pred_right: 16395 pred_wrong:105 actu_right: 16371 actu_wrong: 129,44070,1074,42996,6.986293363571167,0.3277794746175471,43.02978515625,0.47579270526455036,3015.9453125,3050.8316640839075,2101.7556362995933,0.01631047054670645,0.030926525842195775,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,4.099473905563355,0.1387018088587586,67.048828125,0.2224725374403074,3085.40234375,7209.711309665109,4494.936820093197,0.007014081123082993,0.014460714933619981,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9266  rc:0.7829  auc:0.9764 ap:0.9399 f1: 0.8487 pred_right: 16621 pred_wrong:109 actu_right: 16601 actu_wrong: 129,44070,1074,42996,6.722092914581299,0.3524695998953975,43.02978515625,0.4543867641341807,3029.890625,2837.1241102687163,2200.7683298290335,0.016832009508204755,0.029535139668721747,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.4225560665130614,0.16055438309035042,67.048828125,0.2396295545205198,3109.4765625,6228.419185773706,4173.107954070701,0.007687424139557523,0.015575921043833785,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9266  rc:0.7829  auc:0.9764 ap:0.9399 f1: 0.8487 pred_right: 16621 pred_wrong:109 actu_right: 16601 actu_wrong: 129,44070,1074,42996,6.595633268356323,0.33806293166047147,43.02978515625,0.45005333188473645,3020.42578125,2958.0291311096344,2221.95888609955,0.016204539534747205,0.02925346657250787,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.292987823486328,0.13725976664650888,67.048828125,0.22890527876849953,3086.01953125,7285.456069405567,4368.619218307051,0.006956050454111777,0.014878843119952469,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9266  rc:0.7829  auc:0.9764 ap:0.9399 f1: 0.8487 pred_right: 16621 pred_wrong:109 actu_right: 16601 actu_wrong: 129,44070,1074,42996,5.809620666503906,0.2668973622889271,43.02978515625,0.3624117737819674,3037.7890625,3746.7586469343223,2759.292253572357,0.013003773285441103,0.02355676529582788,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.678552341461182,0.14341447628406587,67.048828125,0.24955862664349837,3103.20703125,6972.796790885088,4007.074463623045,0.007322097793921123,0.016221310731827393,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,3.6818027019500734,0.13495255200647696,67.048828125,0.2328001376902779,3101.93359375,7410.011779191887,4295.530105443582,0.0067876410319937675,0.015132008949868065,1.0,RQ3_case_study,1
MSTGAD,a2abbb05,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8222  rc:0.2868  auc:0.9618 ap:0.8464 f1: 0.4253 pred_right: 16685 pred_wrong:45 actu_right: 16601 actu_wrong: 129,43990,994,42996,6.104275417327881,0.25832006223032167,40.38623046875,0.3658597938186454,3011.98046875,3871.1666115517833,2733.287496728034,0.012334137171342283,0.02378088659821195,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,4.0737334251403805,0.14083397153317395,67.048828125,0.23858602789441627,3085.1875,7100.559539105566,4191.3602771514325,0.007121481021532239,0.015508091813137058,1.0,RQ3_case_study,1
MSTGAD,a565c386,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9174  rc:0.8605  auc:0.9994 ap:0.9795 f1: 0.8880 pred_right: 16609 pred_wrong:121 actu_right: 16601 actu_wrong: 129,64676,21680,42996,4.068673419952392,0.1589366778312724,67.048828125,0.2740021601310406,3127.015625,6291.813907558849,3649.6062641322,0.008056977009300692,0.017810140408517642,1.0,RQ3_case_study,1
