model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,random_seed
MSTGAD,0efd4ee9,Eadro,false,Legendre-style,1.0,0.1,pr:0.9268  rc:0.8510  auc:0.9982 ap:0.9816 f1: 0.8873 pred_right: 456203 pred_wrong:13597 actu_right: 454992 actu_wrong: 14808,172686,159367,13319,16.143634781837463,0.1849432225889782,119.94580078125,0.4657865254941956,6195.0078125,1.0,1
MSTGAD,0652192c,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.8848  rc:0.9500  auc:0.9989 ap:0.9849 f1: 0.9162 pred_right: 453902 pred_wrong:15898 actu_right: 454992 actu_wrong: 14808,42145,28826,13319,20.10375086784363,0.20292324061782435,104.6044921875,0.821043142084413,5642.3984375,1.0,1
MSTGAD,321ae9de,encoder_decoder,false,Legendre-style,1.0,0.1,pr:0.9180  rc:0.9785  auc:0.9990 ap:0.9935 f1: 0.9473 pred_right: 454015 pred_wrong:15785 actu_right: 454992 actu_wrong: 14808,105247,91928,13319,78.86673244476319,0.5299331542408151,706.173828125,5.533835781154348,6403.734375,1.0,1
MSTGAD,67a529a3,Art,false,Legendre-style,1.0,0.1,pr:0.9513  rc:0.9738  auc:0.9997 ap:0.9966 f1: 0.9624 pred_right: 454641 pred_wrong:15159 actu_right: 454992 actu_wrong: 14808,44454,31135,13319,19.156644306182862,0.28962976957161307,434.4970703125,0.7026061261699339,6551.7890625,1.0,1
MSTGAD,1ffaf278,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.9461  rc:0.9652  auc:0.9992 ap:0.9945 f1: 0.9555 pred_right: 454694 pred_wrong:15106 actu_right: 454992 actu_wrong: 14808,14893,1574,13319,25.11408173084259,0.30142215417802815,143.22998046875,0.8813555013435442,6992.5625,1.0,1
MSTGAD,fe337038,iTransformer,false,Legendre-style,1.0,0.1,pr:0.9345  rc:0.9556  auc:0.9992 ap:0.9931 f1: 0.9449 pred_right: 454657 pred_wrong:15143 actu_right: 454992 actu_wrong: 14808,216909,203590,13319,60.975701904296876,0.5065664578250574,281.89697265625,4.762939456957216,5885.078125,1.0,1
MSTGAD,7ecd2f2d,FEDformerModel,false,Legendre-style,1.0,0.1,pr:0.7758  rc:0.5976  auc:0.9840 ap:0.8920 f1: 0.6751 pred_right: 458393 pred_wrong:11407 actu_right: 454992 actu_wrong: 14808,32087,18768,13319,55.14818686962128,0.4686845781608783,142.9853515625,2.1053807469925294,5948.24609375,1.0,1
MSTGAD,68dd99e1,FreTS,false,Legendre-style,1.0,0.1,pr:0.9446  rc:0.9656  auc:0.9993 ap:0.9947 f1: 0.9550 pred_right: 454662 pred_wrong:15138 actu_right: 454992 actu_wrong: 14808,16357,3038,13319,25.03011709690094,0.28053590969431685,217.142578125,1.460972691786686,5721.90234375,1.0,1
MSTGAD,9df09156,DLinear,false,Legendre-style,1.0,0.1,pr:0.9380  rc:0.9629  auc:0.9995 ap:0.9943 f1: 0.9503 pred_right: 454598 pred_wrong:15202 actu_right: 454992 actu_wrong: 14808,15007,1688,13319,20.241588554382325,0.2238839606056257,142.29052734375,0.7646190586374767,7584.09375,1.0,1
MSTGAD,b053c165,Eadro,false,Legendre-style,1.0,0.1,pr:0.9284  rc:0.8533  auc:0.9978 ap:0.9808 f1: 0.8892 pred_right: 456190 pred_wrong:13610 actu_right: 454992 actu_wrong: 14808,172686,159367,13319,16.56497534751892,0.16735569354997848,119.94580078125,0.48845786041014505,6175.671875,1.0,2
