model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,random_seed
MSTGAD,1d1448ff,Eadro,false,Legendre-style,1.0,0.1,pr:0.9615  rc:0.9690  auc:0.9980 ap:0.9836 f1: 0.9653 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,239852,196856,42996,4.57781754221235,0.18534981499014683,29.5517578125,0.20467900118283433,3248.625,1.0,1
MSTGAD,a3b2fb39,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.9453  rc:0.9380  auc:0.9948 ap:0.9582 f1: 0.9416 pred_right: 16372 pred_wrong:128 actu_right: 16371 actu_wrong: 129,63849,20853,42996,5.9354023933410645,0.23808796592479828,32.9228515625,0.3451250017009947,3089.54296875,1.0,1
MSTGAD,31c17f1f,encoder_decoder,false,Legendre-style,1.0,0.1,pr:0.9470  rc:0.9690  auc:0.9999 ap:0.9895 f1: 0.9579 pred_right: 16368 pred_wrong:132 actu_right: 16371 actu_wrong: 129,71372,28376,42996,17.66899876912435,0.5168696721014832,48.6474609375,1.3368631364055117,3106.5,1.0,1
MSTGAD,0571e5d4,Art,false,Legendre-style,1.0,0.1,pr:0.9348  rc:1.0000  auc:0.9998 ap:0.9706 f1: 0.9663 pred_right: 16362 pred_wrong:138 actu_right: 16371 actu_wrong: 129,64676,21680,42996,3.3132721166762096,0.13998808008571334,67.048828125,0.23510010030122838,3082.58203125,1.0,1
MSTGAD,d3c2e2dc,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.9528  rc:0.9380  auc:0.9861 ap:0.9682 f1: 0.9453 pred_right: 16373 pred_wrong:127 actu_right: 16371 actu_wrong: 129,44066,1070,42996,7.571774191061656,0.4066339049307942,43.03173828125,0.6051749008826275,3048.078125,1.0,1
MSTGAD,2fd3f556,iTransformer,false,Legendre-style,1.0,0.1,pr:0.8571  rc:0.9767  auc:0.9977 ap:0.9517 f1: 0.9130 pred_right: 16353 pred_wrong:147 actu_right: 16371 actu_wrong: 129,246082,203086,42996,9.476094543933868,0.4311447189157763,52.04541015625,1.3616980012846933,3252.29296875,1.0,1
MSTGAD,04fbceaf,FEDformerModel,false,Legendre-style,1.0,0.1,pr:0.8850  rc:0.7752  auc:0.9640 ap:0.9229 f1: 0.8264 pred_right: 16387 pred_wrong:113 actu_right: 16371 actu_wrong: 129,61260,18264,42996,18.825385489884546,0.8054564773003213,44.0546875,1.358189699682588,3392.41796875,1.0,1
MSTGAD,bd0da7db,FreTS,false,Legendre-style,1.0,0.1,pr:0.9104  rc:0.9457  auc:0.9979 ap:0.9768 f1: 0.9278 pred_right: 16366 pred_wrong:134 actu_right: 16371 actu_wrong: 129,45530,2534,42996,6.931895071665446,0.37205108624336897,43.04345703125,0.5353748335214126,3063.84765625,1.0,1
MSTGAD,de0c19f7,DLinear,false,Legendre-style,1.0,0.1,pr:0.9618  rc:0.9767  auc:0.9979 ap:0.9833 f1: 0.9692 pred_right: 16369 pred_wrong:131 actu_right: 16371 actu_wrong: 129,44180,1184,42996,6.308975118796031,0.30376810551544753,43.02978515625,0.36916131397527774,3073.70703125,1.0,1
MSTGAD,6cf3738c,Eadro,false,Legendre-style,1.0,0.1,pr:0.9615  rc:0.9690  auc:0.9921 ap:0.9828 f1: 0.9653 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,239852,196856,42996,4.046228825822752,0.14288442261690731,29.5517578125,0.17843393244860206,3318.91796875,1.0,2
