model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,b9649560,SN,Eadro,legendre,false,Normal-Recreation,1.0,0.5,TexFilter,linear_attn,pr:0.9452  rc:0.8967  auc:0.9817 ap:0.9744 f1: 0.9203 pred_right: 17942 pred_wrong:1258 actu_right: 17874 actu_wrong: 1326,112854,110420,2434,1.4275021321377774,0.09149834490644032,49.5263671875,0.20144386654160806,1869.00390625,10929.159440233903,4964.162062454509,0.004767155267970447,0.013093851325204523,0.112854,185.8176,5.93717098236084,49.2490234375,1.0,RQ1_main,1,True,5,10
MSTGAD,3e247bca,SN,AnoFusion,legendre,false,Normal-Recreation,1.0,0.5,TexFilter,linear_attn,pr:0.9585  rc:0.9397  auc:0.9959 ap:0.9873 f1: 0.9490 pred_right: 17900 pred_wrong:1300 actu_right: 17874 actu_wrong: 1326,22331,19897,2434,1.8936529739697774,0.1257207896549363,53.49853515625,0.29506983674854587,1736.82421875,7954.133940334632,3389.0282077601346,0.007344922833615517,0.01917953938865548,0.022331,310.4448,8.706450462341309,53.22119140625,1.0,RQ1_main,1,True,5,10
MSTGAD,d08f273b,MSDS,Eadro,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.9407  rc:0.9845  auc:0.9960 ap:0.9812 f1: 0.9621 pred_right: 16365 pred_wrong:135 actu_right: 16371 actu_wrong: 129,177924,143490,34434,5.414285602502183,0.19074126595305027,27.30419921875,0.20974992066888987,3068.28515625,5242.704010605358,4767.582256102946,0.009444744524931239,0.013633744843477841,0.177924,50.308,5.036258697509766,27.05126953125,1.0,RQ1_main,1,True,5,10
MSTGAD,4432bc5c,MSDS,AnoFusion,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.8984  rc:0.8915  auc:0.9953 ap:0.9548 f1: 0.8949 pred_right: 16372 pred_wrong:128 actu_right: 16371 actu_wrong: 129,56037,21603,34434,7.199886539807687,0.3085103146130641,33.2744140625,0.38932699396164205,2947.6640625,3241.382711155727,2568.5349731966535,0.015470712491744018,0.025306254607506733,0.056037,67.3035,7.746005058288574,33.021484375,1.0,RQ1_main,1,True,5,10
MSTGAD,a1b5e8f7,TT,Eadro,legendre,false,Normal-Recreation,1.0,0.2,TexFilter,linear_attn,pr:0.9124  rc:0.8719  auc:0.9984 ap:0.9827 f1: 0.8917 pred_right: 455649 pred_wrong:14151 actu_right: 454992 actu_wrong: 14808,128171,118953,9218,18.836121721267702,0.2082729615519159,101.9150390625,0.4795709652687187,6249.7109375,4801.39136904111,2085.1971291457744,0.011585495895767649,0.03117211274246671,0.128171,459.3024,6.15384578704834,94.64990234375,1.0,RQ1_main,1,True,5,10
MSTGAD,627606ab,TT,AnoFusion,legendre,false,Normal-Recreation,1.0,0.2,TexFilter,linear_attn,pr:0.8788  rc:0.9614  auc:0.9988 ap:0.9822 f1: 0.9182 pred_right: 453600 pred_wrong:16200 actu_right: 454992 actu_wrong: 14808,41524,32306,9218,24.01262966632843,0.23838067213511768,108.75537109375,1.0081233852355818,5565.44921875,4194.970972450255,991.9420724143965,0.02089108615424137,0.06552802004031281,0.041524,1191.7746,10.87944507598877,101.490234375,1.0,RQ1_main,1,True,5,10
MSTGAD,bea37417,SN,Eadro,legendre,false,Normal-Recreation,1.0,0.5,TexFilter,linear_attn,pr:0.9214  rc:0.9284  auc:0.9885 ap:0.9773 f1: 0.9249 pred_right: 17864 pred_wrong:1336 actu_right: 17874 actu_wrong: 1326,112854,110420,2434,1.4538854849820881,0.10178182582662564,49.5263671875,0.19780624784037817,1878.9140625,9824.936739722003,5055.452044199133,0.005255250121993248,0.01285740610962458,0.112854,185.8176,5.683183670043945,49.2490234375,1.0,RQ1_main,2,True,5,10
MSTGAD,64cbec64,SN,AnoFusion,legendre,false,Normal-Recreation,1.0,0.5,TexFilter,linear_attn,pr:0.9584  rc:0.9374  auc:0.9937 ap:0.9862 f1: 0.9478 pred_right: 17903 pred_wrong:1297 actu_right: 17874 actu_wrong: 1326,22331,19897,2434,1.8280453451474508,0.10119042308714442,53.49853515625,0.20713885483540598,1716.83984375,9882.358127298347,4827.679484829667,0.005709821408326755,0.01346402556430139,0.022331,310.4448,6.97629451751709,53.22119140625,1.0,RQ1_main,2,True,5,10
MSTGAD,ef3dc8b2,MSDS,Eadro,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.9542  rc:0.9690  auc:0.9941 ap:0.9859 f1: 0.9615 pred_right: 16369 pred_wrong:131 actu_right: 16371 actu_wrong: 129,177924,143490,34434,5.210765662988027,0.15897859617827256,27.30419921875,0.2019319146675616,3088.83984375,6290.154926759059,4952.164206664853,0.007788281937475483,0.013125574453391504,0.177924,50.308,4.724788665771484,27.05126953125,1.0,RQ1_main,2,True,5,10
MSTGAD,416135e4,MSDS,AnoFusion,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.9250  rc:0.8605  auc:0.9927 ap:0.9555 f1: 0.8916 pred_right: 16380 pred_wrong:120 actu_right: 16371 actu_wrong: 129,56037,21603,34434,7.0293835957845054,0.2552241971231975,33.2744140625,0.35939178136174577,2936.171875,3918.1237957516114,2782.478765126379,0.013012860914523347,0.023360465788513477,0.056037,67.3035,8.702874183654785,33.021484375,1.0,RQ1_main,2,True,5,10
