model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,d08f273b,MSDS,Eadro,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.8649  rc:0.2481  auc:0.8162 ap:0.7564 f1: 0.3855 pred_right: 16463 pred_wrong:37 actu_right: 16371 actu_wrong: 129,177924,143490,34434,0,0.24086524794647526,18.4931640625,0.2765897071368667,2775.02734375,4151.698962492997,3615.463533880396,0.010874945512159387,0.01797833096389634,0.177924,50.308,6.345033645629883,18.240234375,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,a2764947,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.7263  rc:0.5349  auc:0.8579 ap:0.7572 f1: 0.6161 pred_right: 16405 pred_wrong:95 actu_right: 16371 actu_wrong: 129,44015,9581,34434,0,0.3658287472448446,28.18701171875,0.510817007325897,2642.70703125,2733.519461035446,1957.6482099430343,0.0165405809779284,0.033203105476183305,0.044015,48.901,12.181615829467773,27.93408203125,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,4432bc5c,MSDS,AnoFusion,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.4877  rc:0.6124  auc:0.9787 ap:0.7373 f1: 0.5430 pred_right: 16338 pred_wrong:162 actu_right: 16371 actu_wrong: 129,56037,21603,34434,0,0.3751126943201771,24.9365234375,0.5774943328374029,2722.19921875,2665.8655255917597,1731.618724441329,0.01700554644065807,0.03753713163443119,0.056037,67.3035,12.020349502563477,24.68359375,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,977e7beb,MSDS,encoder_decoder,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.0769  rc:0.0155  auc:0.9369 ap:0.5878 f1: 0.0258 pred_right: 16474 pred_wrong:26 actu_right: 16371 actu_wrong: 129,71372,36938,34434,0,1.2049891077966228,40.14111328125,2.0467214647054814,2834.26953125,829.8830201283274,488.5862669857218,0.06266847102373285,0.1330368952058563,0.071372,160.7315,31.298351287841793,39.88818359375,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,985f4429,MSDS,Art,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.5068  rc:0.5814  auc:0.9311 ap:0.7642 f1: 0.5415 pred_right: 16352 pred_wrong:148 actu_right: 16371 actu_wrong: 129,60210,25776,34434,0,0.2629709192470954,64.32275390625,0.3391312612293013,2614.58203125,3802.7018457518866,2948.7107628330873,0.013413226192576974,0.022043531979904586,0.06021,26.032,6.347751617431641,64.06982421875,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,00debc5b,MSDS,Medicine,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.0000  rc:0.0000  auc:0.3830 ap:0.5031 f1: 0.0000 pred_right: 16500 pred_wrong: 0  actu_right: 16371 actu_wrong: 129,67911,33477,34434,0,0.24760020199608673,15.08056640625,0.28906891749279984,2558.68359375,4038.768918354133,3459.3826575107582,0.011593136657860773,0.018789479637031987,0.067911,44.9965,6.884241104125977,14.82763671875,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,2edab66d,MSDS,DeepHunt,legendre,false,Normal-Recreation,1.0,0.0,TexFilter,linear_attn,pr:0.9167  rc:0.7674  auc:0.9687 ap:0.9512 f1: 0.8354 pred_right: 16392 pred_wrong:108 actu_right: 16371 actu_wrong: 129,59764,25330,34434,0,0.41398949859673867,17.56884765625,0.3135495034791863,2600.3125,2415.520208579218,3189.2890561262866,0.018780840598590344,0.02038071772614711,0.059764,70.996,14.866781234741211,17.31591796875,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,b9649560,SN,Eadro,legendre,false,Normal-Recreation,1.0,0.5,TexFilter,linear_attn,pr:0.9452  rc:0.8967  auc:0.9817 ap:0.9744 f1: 0.9203 pred_right: 17942 pred_wrong:1258 actu_right: 17874 actu_wrong: 1326,112854,110420,2434,0,0.14825366015102773,39.6943359375,0.316249566353012,1561.94921875,6745.196030784591,3162.059671834475,0.0070292990424008295,0.020556221812945776,0.112854,185.8176,8.199644088745117,39.4169921875,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,2dac6c2a,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9727  rc:0.9668  auc:0.9952 ap:0.9934 f1: 0.9697 pred_right: 17882 pred_wrong:1318 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,0,0.19753221408710264,21.13525390625,0.3203519808700661,1411.890625,5062.46540404314,3121.566463500649,0.009234137178036832,0.020822878756554298,0.004613,33.8448,11.727333068847656,20.85791015625,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,3e247bca,SN,AnoFusion,legendre,false,Normal-Recreation,1.0,0.5,TexFilter,linear_attn,pr:0.9585  rc:0.9397  auc:0.9959 ap:0.9873 f1: 0.9490 pred_right: 17900 pred_wrong:1300 actu_right: 17874 actu_wrong: 1326,22331,19897,2434,0,0.12868874652429627,44.41748046875,0.34659785737045024,1495.1171875,7770.687235742103,2885.1880608459196,0.006603469994774477,0.022528860729079267,0.022331,310.4448,8.868145942687988,44.14013671875,1.0,RQ1_main_Evaluate,1,True,5,10
MSTGAD,36410c1c,SN,encoder_decoder,legendre,false,Normal-Recreation,1.0,0.5,TexFilter,linear_attn,pr:0.9871  rc:0.9789  auc:0.9985 ap:0.9977 f1: 0.9830 pred_right: 17885 pred_wrong:1315 actu_right: 17874 actu_wrong: 1326,95018,92584,2434,0,0.3852947414169266,210.47802734375,2.975258739378505,1822.7578125,2595.415645493854,336.1052223003932,0.04080637341609599,0.19339181805960282,0.095018,1725.7088,34.35111045837402,210.20068359375,1.0,RQ1_main_Evaluate,1,True,5,10
