model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),fewshot_ratio,experiment_name,random_seed,use_normlin
MSTGAD,4257a0eb,TT,AnoFusion,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.8766  rc:0.9405  auc:0.9988 ap:0.9826 f1: 0.9074 pred_right: 453913 pred_wrong:15887 actu_right: 454992 actu_wrong: 14808,42145,28826,13319,32.843187446594236,1.002646697402411,105.3291015625,1.4282820419110058,5504.9921875,997.3602891135353,700.1418281938383,0.05851646655379951,0.09283833272421538,1.0,RQ1_main,2,True
MSTGAD,9a978fb3,TT,encoder_decoder,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9260  rc:0.9691  auc:0.9992 ap:0.9915 f1: 0.9471 pred_right: 454304 pred_wrong:15496 actu_right: 454992 actu_wrong: 14808,105247,91928,13319,109.92365191936493,0.7228184311316016,707.5458984375,13.232738881379401,6872.40234375,1383.473299697767,75.57014530129975,0.06424048806682109,0.860128027289661,1.0,RQ1_main,2,True
MSTGAD,f5acde3e,TT,AnoFusion,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.8848  rc:0.9639  auc:0.9990 ap:0.9857 f1: 0.9227 pred_right: 453668 pred_wrong:16132 actu_right: 454992 actu_wrong: 14808,42145,28826,13319,32.37807974815369,0.3309385315011481,105.3291015625,1.4439686020808433,5545.828125,3021.7091840710327,692.5358339225253,0.01984075777908833,0.09385795913525481,1.0,RQ1_main,3,True
MSTGAD,490d6b27,TT,encoder_decoder,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9257  rc:0.9696  auc:0.9994 ap:0.9912 f1: 0.9472 pred_right: 454290 pred_wrong:15510 actu_right: 454992 actu_wrong: 14808,105247,91928,13319,107.36201765537263,1.3891422170995982,707.5458984375,10.472068173466539,6845.92578125,719.8686986044586,95.49212089105154,0.12495681528365161,0.6806844312753251,1.0,RQ1_main,3,True
MSTGAD,9564109a,TT,Eadro,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9076  rc:0.8607  auc:0.9974 ap:0.9801 f1: 0.8835 pred_right: 455757 pred_wrong:14043 actu_right: 454992 actu_wrong: 14808,172686,159367,13319,25.990235180854796,0.2915243400635046,121.65966796875,0.8982584889802813,6444.34765625,3430.24530912981,1113.2652930841962,0.0101103556377424,0.05838680178371828,1.0,RQ1_main,2,True
MSTGAD,caca6ffc,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9462  rc:0.9585  auc:0.9995 ap:0.9947 f1: 0.9523 pred_right: 454800 pred_wrong:15000 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,31.43477571964264,0.3248619526316734,139.2978515625,0.8589064760131485,5729.96875,3078.2305896369294,1164.2711144079108,0.016282243496875785,0.055828920940854655,1.0,RQ1_main,2,True
MSTGAD,ebb821ea,SN,Eadro,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9432  rc:0.9261  auc:0.9856 ap:0.9768 f1: 0.9346 pred_right: 17898 pred_wrong:1302 actu_right: 17874 actu_wrong: 1326,152228,149138,3090,1.9388083730425154,0.14494010938892601,59.978515625,0.366466213958432,1912.57421875,6899.401443920835,2728.764513373201,0.0071795358485257565,0.023820303907298078,1.0,RQ1_main,2,True
MSTGAD,f0477cf1,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9782  rc:0.9480  auc:0.9947 ap:0.9916 f1: 0.9628 pred_right: 17915 pred_wrong:1285 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,2.486495064364539,0.18308486983808675,42.2890625,0.3316342936905098,1734.234375,5461.947788937238,3015.3696979638285,0.008907536629797515,0.021556229089883135,1.0,RQ1_main,2,True
MSTGAD,ad80116b,SN,AnoFusion,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9370  rc:0.9306  auc:0.9931 ap:0.9835 f1: 0.9338 pred_right: 17883 pred_wrong:1317 actu_right: 17874 actu_wrong: 1326,20673,17583,3090,2.4622639067967733,0.19830554366040923,51.58935546875,0.4044110337255685,1737.47265625,5042.723372940407,2472.7317422268834,0.009772398038813138,0.026286717192161954,1.0,RQ1_main,2,True
MSTGAD,7493fb58,SN,encoder_decoder,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9825  rc:0.9729  auc:0.9971 ap:0.9954 f1: 0.9776 pred_right: 17887 pred_wrong:1313 actu_right: 17874 actu_wrong: 1326,95018,91928,3090,8.020247174898783,0.5305238883550579,219.68896484375,3.339877386427464,1977.390625,1884.9292594544602,299.41218922101234,0.03406599991905498,0.21709203011778516,1.0,RQ1_main,2,True
MSTGAD,51ea92fd,MSDS,Eadro,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9137  rc:0.9845  auc:0.9997 ap:0.9745 f1: 0.9478 pred_right: 16361 pred_wrong:139 actu_right: 16371 actu_wrong: 129,239852,196856,42996,6.922238629961771,0.2596755133228108,31.5966796875,0.3199941443598919,3154.38671875,3850.959943061202,3125.0571850318524,0.012171380822710128,0.020799619383392972,1.0,RQ1_main,2,True
MSTGAD,6acdc28f,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9474  rc:0.9767  auc:0.9901 ap:0.9800 f1: 0.9618 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,44015,1019,42996,9.425444982846578,0.4230197101599858,40.93603515625,0.5767676050764177,2932.1796875,2363.9560426671387,1733.8005657712122,0.020346190509419916,0.03748989432996715,1.0,RQ1_main,2,True
MSTGAD,0fe8d05d,MSDS,AnoFusion,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9160  rc:0.9302  auc:0.9996 ap:0.9644 f1: 0.9231 pred_right: 16369 pred_wrong:131 actu_right: 16371 actu_wrong: 129,63849,20853,42996,8.928645737150795,0.3078129888649694,33.6328125,0.46317276666781465,2937.37109375,3248.725804870689,2159.021583229645,0.014490912076796161,0.030106229833407952,1.0,RQ1_main,2,True
MSTGAD,c40ad380,MSDS,encoder_decoder,legendre,false,Normal-Recreation,1.0,0.1,TexFilter,linear_attn,pr:0.9338  rc:0.9845  auc:0.9998 ap:0.9763 f1: 0.9585 pred_right: 16364 pred_wrong:136 actu_right: 16371 actu_wrong: 129,71372,28376,42996,26.51283734628599,2.151495022041243,49.134765625,3.4016811128013233,2963.30078125,464.7930809764292,293.9722939451219,0.10234123946094685,0.22110927233208602,1.0,RQ1_main,2,True
