model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin
MSTGAD,89bc251a,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9547  rc:0.9658  auc:0.9995 ap:0.9960 f1: 0.9602 pred_right: 454820 pred_wrong:14980 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,21.80703434944153,0.22204146970974456,138.791015625,0.7136411152258259,5885.96875,4503.663217989021,1401.2645553410389,0.013250213684194151,0.04638667248967868,0.014842,265.9156,10.412740707397461,131.52587890625,1.0,RQ2_ablations_components,1,True
MSTGAD,9aad4e82,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,no_attn,pr:0.8862  rc:0.8980  auc:0.9979 ap:0.9787 f1: 0.8921 pred_right: 454794 pred_wrong:15006 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,20.48330071926117,0.22483766470382463,138.78759765625,0.6960313437863688,5732.46484375,4447.653382796363,1436.7169078335753,0.013106799245077105,0.04524203734611398,0.014842,262.3516,10.574126243591309,131.5224609375,1.0,RQ2_ablations_components,1,True
MSTGAD,5fdab415,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9455  rc:0.8235  auc:0.9974 ap:0.9749 f1: 0.8803 pred_right: 456902 pred_wrong:12898 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,21.99478805065155,0.21048942767383036,138.791015625,0.7475905111818719,5808.453125,4750.832433967074,1337.6306748718519,0.01255843072330374,0.04859338322682167,0.014842,265.9156,9.578609466552734,131.52587890625,1.0,RQ2_ablations_components,1,True
MSTGAD,4189e3ea,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,nofilter,linear_attn,pr:0.9547  rc:0.9658  auc:0.9995 ap:0.9960 f1: 0.9602 pred_right: 454820 pred_wrong:14980 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,21.857683329582215,0.22871727226248564,138.791015625,0.7133027579288943,5649.21875,4372.2102406518625,1401.9292493744783,0.013532286130682225,0.04636467926537813,0.014842,265.9156,10.448551177978516,131.52587890625,1.0,RQ2_ablations_components,1,True
MSTGAD,93edb2bd,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9197  rc:0.9767  auc:0.9998 ap:0.9773 f1: 0.9474 pred_right: 16363 pred_wrong:137 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.482206150690715,0.25058313564704127,40.38720703125,0.36446740366496233,2939.7890625,3990.6915420220043,2743.7295899285764,0.012338838890828135,0.02369038123822255,0.044015,50.8325,9.004855155944824,40.13427734375,1.0,RQ2_ablations_components,1,True
MSTGAD,fc31f3ef,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,no_attn,pr:0.9338  rc:0.9845  auc:0.9974 ap:0.9755 f1: 0.9585 pred_right: 16364 pred_wrong:136 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.04676189104716,0.20919225205936193,40.5361328125,0.297789721879429,2897.24609375,4780.2917658548495,3358.074260215356,0.010467248120168263,0.01935633192216288,0.044015,50.5025,8.032631874084473,40.283203125,1.0,RQ2_ablations_components,1,True
MSTGAD,800e70d3,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9692  rc:0.9767  auc:0.9902 ap:0.9826 f1: 0.9730 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.783430796464284,0.2447421295658529,40.38720703125,0.3439049056669373,2982.26953125,4085.9332301058917,2907.780562364159,0.012212754636400843,0.022353818868350927,0.044015,50.8325,9.147882461547852,40.13427734375,1.0,RQ2_ablations_components,1,True
MSTGAD,a1094845,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,nofilter,linear_attn,pr:0.9197  rc:0.9767  auc:0.9998 ap:0.9773 f1: 0.9474 pred_right: 16363 pred_wrong:137 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.657848236560821,0.27734761714080247,40.38720703125,0.33091786231242176,2967.03515625,3605.583528386058,3021.897920565839,0.013695147986795683,0.021509661050307417,0.044015,50.8325,9.176301956176758,40.13427734375,1.0,RQ2_ablations_components,1,True
MSTGAD,2585f19b,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8889  rc:0.9302  auc:0.9759 ap:0.9572 f1: 0.9091 pred_right: 16365 pred_wrong:135 actu_right: 16371 actu_wrong: 129,43990,994,42996,6.293517176310221,0.23601211392801105,40.38623046875,0.322593519663426,3003.265625,4237.070645894991,3099.876280972221,0.011800959714571445,0.020968578778122686,0.04399,50.545,8.63347053527832,40.13330078125,1.0,RQ2_ablations_components,1,False
MSTGAD,5c9cf601,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9753  rc:0.9525  auc:0.9956 ap:0.9916 f1: 0.9638 pred_right: 17905 pred_wrong:1295 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.6249569384256999,0.1100991623641052,41.859375,0.23665445161163276,1757.86328125,9082.721235361754,4225.570206644889,0.005673134588716431,0.01538253935475613,0.004613,40.8768,9.498167037963867,41.58203125,1.0,RQ2_ablations_components,1,True
MSTGAD,3d8953ef,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,no_attn,pr:0.9381  rc:0.9374  auc:0.9954 ap:0.9849 f1: 0.9378 pred_right: 17875 pred_wrong:1325 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.5002638292312622,0.13232781811973132,42.58837890625,0.25978955355557526,1709.09765625,7556.99001320487,3849.269481061238,0.006696052252494644,0.016886320981112393,0.004613,39.2928,8.372855186462402,42.31103515625,1.0,RQ2_ablations_components,1,True
MSTGAD,463d06b3,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9642  rc:0.9148  auc:0.9924 ap:0.9871 f1: 0.9389 pred_right: 17942 pred_wrong:1258 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.6177580912907918,0.09244900463736631,41.859375,0.16700732729226722,1735.19140625,10816.774111549677,5987.761233074365,0.004819736407764456,0.01085547627399737,0.004613,40.8768,6.751489639282227,41.58203125,1.0,RQ2_ablations_components,1,True
MSTGAD,b9ea2923,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,nofilter,linear_attn,pr:0.9753  rc:0.9525  auc:0.9956 ap:0.9916 f1: 0.9638 pred_right: 17905 pred_wrong:1295 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.6395869787534079,0.10714215773312166,41.859375,0.20367406481302572,1743.23828125,9333.394260090232,4909.805285803116,0.005597267033214876,0.01323881421284667,0.004613,40.8768,7.879829406738281,41.58203125,1.0,RQ2_ablations_components,1,True
MSTGAD,8bd512da,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9630  rc:0.9427  auc:0.9947 ap:0.9871 f1: 0.9527 pred_right: 17902 pred_wrong:1298 actu_right: 17874 actu_wrong: 1326,4588,1498,3090,1.5571672423680623,0.11283044027418022,41.8583984375,0.25723523067988885,1730.55859375,8862.856491297738,3887.4923833603093,0.005765466252350198,0.016720289994192776,0.004588,39.6768,8.14826488494873,41.5810546875,1.0,RQ2_ablations_components,1,False
