model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,98a9ed2a,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9727  rc:0.9668  auc:0.9952 ap:0.9934 f1: 0.9697 pred_right: 17882 pred_wrong:1318 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.7163493204116822,0.11634842979716745,29.28955078125,0.17503422778487135,1664.0390625,8594.873190324271,5713.168290884604,0.0057786192885210174,0.011377224806016637,0.004613,33.8448,8.373332023620605,29.01220703125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,6f4be78e,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,no_attn,pr:0.9489  rc:0.9382  auc:0.9899 ap:0.9836 f1: 0.9435 pred_right: 17889 pred_wrong:1311 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.6343310364087422,0.11152899159042168,30.0185546875,0.18225676660656717,1649.0625,8966.278505165663,5486.7647364702425,0.005487839795702495,0.011846689829426866,0.004613,32.2608,8.779239654541016,29.7412109375,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,e8a7e84e,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9451  rc:0.9216  auc:0.9930 ap:0.9859 f1: 0.9332 pred_right: 17907 pred_wrong:1293 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.74256476243337,0.12219976288041258,29.28955078125,0.18641556293852474,1666.59765625,8183.32193474567,5364.358985036971,0.006076688708635718,0.012117011591004107,0.004613,33.8448,9.677577018737793,29.01220703125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,035f4932,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,nofilter,linear_attn,pr:0.9727  rc:0.9668  auc:0.9952 ap:0.9934 f1: 0.9697 pred_right: 17882 pred_wrong:1318 actu_right: 17874 actu_wrong: 1326,4613,2179,2434,1.7282594958941142,0.15579950759896763,29.28955078125,0.23702376666553518,1666.49609375,6418.5055229701275,4218.98619732553,0.00781139781224324,0.015406544833259787,0.004613,33.8448,14.457869529724121,29.01220703125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,ea798497,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9701  rc:0.9540  auc:0.9962 ap:0.9920 f1: 0.9620 pred_right: 17896 pred_wrong:1304 actu_right: 17874 actu_wrong: 1326,4588,2154,2434,1.7375984215736389,0.13707423535968602,29.28857421875,0.19254588117503157,1664.1875,7295.3170037824875,5193.567340404243,0.006863923798518597,0.012515482276377051,0.004588,32.9448,8.514595031738281,29.01123046875,1.0,RQ2_ablations_components,1,False,5,10
MSTGAD,6f88179d,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9444  rc:0.9625  auc:0.9995 ap:0.9937 f1: 0.9534 pred_right: 454708 pred_wrong:15092 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,22.798554396629335,0.6481998062571757,87.220703125,0.49754596057633443,5480.578125,1542.7341852725676,2009.8645738006712,0.033871356776065585,0.03234048743746174,0.014842,246.1536,13.526320457458496,80.23486328125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,20679e80,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,no_attn,pr:0.8559  rc:0.8885  auc:0.9969 ap:0.9720 f1: 0.8719 pred_right: 454428 pred_wrong:15372 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,21.551941595077516,0.3396811484195609,89.0712890625,0.34841875258050475,5394.84375,2943.937291347235,2870.1095810534553,0.018294207610432288,0.022647218917732807,0.014842,242.5896,9.736132621765137,81.93017578125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,6eadf84b,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9320  rc:0.7642  auc:0.9964 ap:0.9645 f1: 0.8398 pred_right: 457659 pred_wrong:12141 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,22.824793939590453,0.20536184387557405,87.220703125,1.014088325193911,5432.23828125,4869.453746265964,986.1073982966749,0.011131946790041307,0.06591574113760422,0.014842,246.1536,11.298179626464844,80.23486328125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,b792eaff,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,nofilter,linear_attn,pr:0.9444  rc:0.9625  auc:0.9995 ap:0.9937 f1: 0.9534 pred_right: 454708 pred_wrong:15092 actu_right: 454992 actu_wrong: 14808,14842,5624,9218,22.606534786224366,0.23178499311585105,87.220703125,1.0083786518784532,5476.8828125,4314.343161553082,991.6909666196868,0.012288660872519633,0.06554461237209946,0.014842,246.1536,12.448906898498535,80.23486328125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,9f2dc9a4,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9549  rc:0.9845  auc:0.9962 ap:0.9786 f1: 0.9695 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,44015,9581,34434,6.769429518381755,0.25143821155390766,36.4921875,0.3476378736706886,2901.58984375,3977.120238884625,2876.5565427065144,0.01223938354291534,0.022596461788594757,0.044015,48.901,11.466550827026367,36.2392578125,1.0,RQ2_ablations_components,1,True,5,10
MSTGAD,e05d0125,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,no_attn,pr:0.9470  rc:0.9690  auc:0.9954 ap:0.9780 f1: 0.9579 pred_right: 16368 pred_wrong:132 actu_right: 16371 actu_wrong: 129,44015,9581,34434,6.293882631460826,0.24251814053860954,36.64111328125,0.30179766217748777,2895.80078125,4123.402883508408,3313.478284705526,0.011819364097289675,0.019616848041536704,0.044015,48.571,8.704686164855957,36.38818359375,1.0,RQ2_ablations_components,1,True,5,10
