model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin
MSTGAD,5e96bd71,SN,FreTS,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9569  rc:0.9374  auc:0.9929 ap:0.9883 f1: 0.9470 pred_right: 17901 pred_wrong:1299 actu_right: 17874 actu_wrong: 1326,6128,3038,3090,1.8327151719671095,0.10900215244123218,107.69189453125,0.42755732703478083,1828.59765625,9174.130763510782,2338.8676483110585,0.008160337140360407,0.027791226257260753,0.006128,92.2368,10.001039505004883,107.41455078125,1.0,RQ2_architecture,1,True
MSTGAD,d8f9b0f9,SN,DLinear,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9693  rc:0.9510  auc:0.9941 ap:0.9910 f1: 0.9600 pred_right: 17899 pred_wrong:1301 actu_right: 17874 actu_wrong: 1326,4778,1688,3090,1.6474251230967414,0.12136377526122902,42.0888671875,0.21205073088602303,1737.73828125,8239.69094441528,4715.852644419786,0.006259943527974193,0.013783297507591497,0.004778,43.2768,9.013032913208008,41.8115234375,1.0,RQ2_architecture,1,True
MSTGAD,d9101deb,SN,iTransformer,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9314  rc:0.8914  auc:0.9886 ap:0.9755 f1: 0.9110 pred_right: 17931 pred_wrong:1269 actu_right: 17874 actu_wrong: 1326,206680,203590,3090,3.8736736616456366,0.2452136179696784,141.865234375,2.5341696351040564,2097.640625,4078.0769366718196,394.6065749299923,0.03829709503407742,0.16472102628176366,0.20668,9993.1008,19.731879234313965,141.587890625,1.0,RQ2_architecture,1,True
MSTGAD,a8addaf4,SN,FEDformerModel,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8396  rc:0.7934  auc:0.9826 ap:0.9452 f1: 0.8158 pred_right: 17947 pred_wrong:1253 actu_right: 17874 actu_wrong: 1326,21858,18768,3090,5.666864894919379,0.7848603945010769,67.033203125,2.1866591856441397,1987.6953125,1274.1119401695428,457.31863774894714,0.04233536967938809,0.14213284706686907,0.021858,320.5248,35.67357063293457,66.755859375,1.0,RQ2_architecture,1,True
MSTGAD,3c6798cb,MSDS,FreTS,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9545  rc:0.9767  auc:0.9980 ap:0.9940 f1: 0.9655 pred_right: 16368 pred_wrong:132 actu_right: 16371 actu_wrong: 129,45530,2534,42996,7.234694296518962,0.2984926322941572,42.0185546875,0.5122455236659532,2961.5,3350.166442347979,1952.188850462503,0.01544565050437731,0.03329595903828696,0.04553,63.1375,9.383416175842285,41.765625,1.0,RQ2_architecture,1,True
MSTGAD,11ea812a,MSDS,DLinear,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9394  rc:0.9612  auc:0.9998 ap:0.9854 f1: 0.9502 pred_right: 16368 pred_wrong:132 actu_right: 16371 actu_wrong: 129,44180,1184,42996,6.5478595479329424,0.2950524639670035,40.38720703125,0.3734062477563287,2933.78125,3389.2277548030665,2678.0483883402067,0.014672221401919167,0.024271406104161366,0.04418,51.4075,9.023046493530273,40.13427734375,1.0,RQ2_architecture,1,True
MSTGAD,e470198f,MSDS,iTransformer,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.8872  rc:0.9147  auc:0.9745 ap:0.9459 f1: 0.9008 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,246082,203086,42996,10.34265453338623,0.37938344058203827,52.04638671875,1.3501119699153228,3168.0,2635.855688550431,740.6793082967175,0.025513156995701492,0.08775727804449598,0.246082,2435.2195,14.375472068786621,51.79345703125,1.0,RQ2_architecture,1,True
MSTGAD,1aca28b3,MSDS,FEDformerModel,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9091  rc:0.6977  auc:0.9945 ap:0.9310 f1: 0.7895 pred_right: 16401 pred_wrong:99 actu_right: 16371 actu_wrong: 129,61260,18264,42996,22.204653395139253,0.6541052691179767,42.30078125,1.0211944437568514,3162.75,1528.8059081811746,979.245437647624,0.03327695146110794,0.06637763884419534,0.06126,117.8315,33.980727195739746,42.0478515625,1.0,RQ2_architecture,1,True
MSTGAD,20afc65e,TT,FreTS,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9436  rc:0.9578  auc:0.9996 ap:0.9936 f1: 0.9506 pred_right: 454769 pred_wrong:15031 actu_right: 454992 actu_wrong: 14808,16357,3038,13319,25.286356616020203,0.2437215776585821,217.1435546875,1.5907640572119799,6049.54296875,4103.0425356955975,628.6287369056034,0.022313441599376163,0.10339966371877869,0.016357,370.7756,23.644328117370605,209.87841796875,1.0,RQ2_architecture,1,True
MSTGAD,c66bf24e,TT,DLinear,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9258  rc:0.9683  auc:0.9994 ap:0.9927 f1: 0.9466 pred_right: 454311 pred_wrong:15489 actu_right: 454992 actu_wrong: 14808,15007,1688,13319,20.996335105895994,0.23202211224526406,138.791015625,0.6288040108576708,5685.65625,4309.934041730161,1590.3206448000044,0.01374881829426149,0.0408722607057486,0.015007,270.8156,9.797143936157227,131.52587890625,1.0,RQ2_architecture,1,True
