model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin
MSTGAD,729599cb,TT,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9130  rc:0.9616  auc:0.9991 ap:0.9914 f1: 0.9367 pred_right: 454203 pred_wrong:15597 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,19.69859712123871,0.202744241532721,138.02099609375,0.665479823177088,5587.15625,4932.322577648201,1502.6751603465132,0.011887401741667265,0.04325618850651072,0.014842,265.9156,8.381295204162598,130.755859375,1.0,RQ2_basis_comparison,1,True
MSTGAD,f78cddd3,TT,FITS_Legendre,fourier,false,FreDF-style,1.0,0.1,LPF,linear_attn,pr:0.9328  rc:0.8009  auc:0.9969 ap:0.9699 f1: 0.8618 pred_right: 457087 pred_wrong:12713 actu_right: 454992 actu_wrong: 14808,14997,1678,13319,58.291984324455264,0.6054892679032721,139.03173828125,0.6297794056267196,5703.99609375,1651.5569358691782,1587.8575753121975,0.04294614279384328,0.04093566136573678,0.014997,197.7896,55.56740760803223,131.7666015625,1.0,RQ2_basis_comparison,1,True
MSTGAD,a6347cc7,TT,FITS_Legendre,hermite,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.7353  rc:0.6970  auc:0.9850 ap:0.9114 f1: 0.7156 pred_right: 455763 pred_wrong:14037 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,19.885815386772155,0.20237808665506601,138.791015625,0.6898906556664871,5474.17578125,4941.246438921046,1449.5050654569652,0.01216079803805959,0.04484289261832166,0.014842,265.9156,8.388876914978027,131.52587890625,1.0,RQ2_basis_comparison,1,True
MSTGAD,9762d949,TT,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9308  rc:0.9680  auc:0.9995 ap:0.9923 f1: 0.9490 pred_right: 454400 pred_wrong:15400 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,20.15684353351593,0.21817495212489235,138.791015625,0.7172776555084334,5504.828125,4583.477572748858,1394.160256241584,0.012953810519987298,0.04662304760804817,0.014842,265.9156,8.988595008850098,131.52587890625,1.0,RQ2_basis_comparison,1,True
MSTGAD,1fcd64ce,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9547  rc:0.9658  auc:0.9995 ap:0.9960 f1: 0.9602 pred_right: 454820 pred_wrong:14980 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,22.026009287834167,0.23785780196074913,138.791015625,0.7070800603873146,5697.375,4204.19255436077,1414.2670059911372,0.01410484872737144,0.045960203925175455,0.014842,265.9156,10.034322738647461,131.52587890625,1.0,RQ2_basis_comparison,1,True
MSTGAD,354c0cc2,MSDS,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9612  rc:0.9612  auc:0.9999 ap:0.9875 f1: 0.9612 pred_right: 16371 pred_wrong:129 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.1180605467160545,0.2629950888771107,40.38720703125,0.36732607520560057,2943.83984375,3802.352371938277,2722.3768403598297,0.013082427701102997,0.023876194888364035,0.044015,50.8325,7.648348808288574,40.13427734375,1.0,RQ2_basis_comparison,1,True
MSTGAD,72fd243e,MSDS,FITS_Legendre,fourier,false,FreDF-style,1.0,0.1,LPF,linear_attn,pr:0.9485  rc:1.0000  auc:0.9999 ap:0.9883 f1: 0.9736 pred_right: 16364 pred_wrong:136 actu_right: 16371 actu_wrong: 129,44170,1174,42996,11.161375945409139,0.5044035424177189,37.96533203125,0.37066315151016227,2934.046875,1982.5396055047047,2697.867311400614,0.033485585768713896,0.024093104848160546,0.04417,34.0255,21.636581420898438,37.71240234375,1.0,RQ2_basis_comparison,1,True
MSTGAD,cc96fe5c,MSDS,FITS_Legendre,hermite,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.6154  rc:0.6202  auc:0.8289 ap:0.7189 f1: 0.6178 pred_right: 16370 pred_wrong:130 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.249142757198155,0.26068604099344367,40.38720703125,0.3538102499396945,2956.33203125,3836.0320183969893,2826.373741773863,0.013204530034440902,0.022997666246080142,0.044015,50.8325,7.876777648925781,40.13427734375,1.0,RQ2_basis_comparison,1,True
MSTGAD,9ca62a5d,MSDS,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9466  rc:0.9612  auc:0.9929 ap:0.9770 f1: 0.9538 pred_right: 16369 pred_wrong:131 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.223197888833871,0.23852039252792515,40.38720703125,0.3667839686455872,3017.33203125,4192.513643808981,2726.4005122488634,0.011950945007415425,0.02384095796196317,0.044015,50.8325,8.78744125366211,40.13427734375,1.0,RQ2_basis_comparison,1,True
MSTGAD,31e37a47,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9197  rc:0.9767  auc:0.9998 ap:0.9773 f1: 0.9474 pred_right: 16363 pred_wrong:137 actu_right: 16371 actu_wrong: 129,44015,1019,42996,6.967225637435913,0.25817409590625934,40.38720703125,0.48609928534690733,2932.84765625,3873.3552895372236,2057.192903063712,0.012914255538374952,0.031596453547548975,0.044015,50.8325,9.090781211853027,40.13427734375,1.0,RQ2_basis_comparison,1,True
