model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,d535514e,SN,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9731  rc:0.9532  auc:0.9947 ap:0.9922 f1: 0.9630 pred_right: 17901 pred_wrong:1299 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.6362097009283598,0.126979045901919,41.859375,0.25487569422503703,1731.16796875,7875.31511909783,3923.481221073483,0.006506469801537281,0.016566920124627408,0.004613,40.8768,7.669615745544434,41.58203125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,93f2acc4,SN,FITS_Legendre,fourier,false,FreDF-style,1.0,0.5,LPF,linear_attn,pr:0.9544  rc:0.9163  auc:0.9940 ap:0.9866 f1: 0.9350 pred_right: 17927 pred_wrong:1273 actu_right: 17874 actu_wrong: 1326,4768,1678,3090,1.7196596837043763,0.0974801800751077,43.3818359375,0.25836385861791744,1753.32421875,10258.495616539773,3870.510393169404,0.006263930151356309,0.016793650810164634,0.004768,37.3728,8.698534965515137,43.1044921875,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,a5acfef4,SN,FITS_Legendre,hermite,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.3547  rc:0.3627  auc:0.6624 ap:0.5657 f1: 0.3587 pred_right: 17844 pred_wrong:1356 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.6550495768312234,0.12599763286588309,41.859375,0.23537891929658197,1731.13671875,7936.657040727422,4248.468822052754,0.006458197668990138,0.015299629754277828,0.004613,40.8768,8.181428909301758,41.58203125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,749259a0,SN,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9619  rc:0.9532  auc:0.9948 ap:0.9905 f1: 0.9576 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.6364139580726624,0.12168320345864435,41.859375,0.22399390090878918,1746.203125,8218.061092876005,4464.407271549783,0.006178282130807479,0.014559603559071297,0.004613,40.8768,8.430862426757812,41.58203125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,eaeb1bd1,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9787  rc:0.9698  auc:0.9961 ap:0.9937 f1: 0.9742 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.831668287310107,0.14485614525018103,41.859375,0.26332404170090146,1740.58203125,6903.4005997667555,3797.6023516145833,0.007395702923820618,0.017116062710558596,0.004613,40.8768,9.662055969238281,41.58203125,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,b5b970ec,TT,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9063  rc:0.9620  auc:0.9992 ap:0.9919 f1: 0.9333 pred_right: 454081 pred_wrong:15719 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,21.0640296459198,0.209379905236438,138.02099609375,0.7126334614102247,5740.0859375,4776.007510705339,1403.2459239580303,0.013372152337877731,0.046321174991664604,0.014842,265.9156,10.186934471130371,130.755859375,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,52322703,TT,FITS_Legendre,fourier,false,FreDF-style,1.0,0.2,LPF,linear_attn,pr:0.9285  rc:0.8167  auc:0.9971 ap:0.9720 f1: 0.8690 pred_right: 456775 pred_wrong:13025 actu_right: 454992 actu_wrong: 14808,14997,1678,13319,59.55826776981354,0.6073771392436854,139.03173828125,1.13451159233067,5535.86328125,1646.4235075511965,881.4365642096811,0.04117075569506359,0.07374325350149354,0.014997,197.7896,50.33221244812012,131.7666015625,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,946ea96f,TT,FITS_Legendre,hermite,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.7261  rc:0.6336  auc:0.8700 ap:0.8030 f1: 0.6767 pred_right: 456877 pred_wrong:12923 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,20.781392016410827,0.21293892055647246,138.791015625,0.7187987441447243,5707.328125,4696.182348378135,1391.2099988291827,0.01238250469981915,0.04672191836940708,0.014842,265.9156,8.999919891357422,131.52587890625,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,a0e835c1,TT,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9164  rc:0.9555  auc:0.9988 ap:0.9906 f1: 0.9356 pred_right: 454361 pred_wrong:15439 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,20.70997087478638,0.21138058299996412,138.791015625,0.7388729999861953,6226.8046875,4730.803491066962,1353.4125621300054,0.012398633786154398,0.04802674499910269,0.014842,265.9156,8.56006145477295,131.52587890625,1.0,RQ2_basis_comparison,1,True,5,10
MSTGAD,091dcbb9,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9422  rc:0.9760  auc:0.9996 ap:0.9952 f1: 0.9588 pred_right: 454462 pred_wrong:15338 actu_right: 454992 actu_wrong: 14808,14842,1523,13319,22.790608258247374,0.25093348050911307,138.791015625,0.7468237395127797,5889.66015625,3985.1198730879723,1339.0040341411616,0.01457145627968369,0.048543543068330676,0.014842,265.9156,11.109447479248047,131.52587890625,1.0,RQ2_basis_comparison,1,True,5,10
