model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree,linear_attn_dim
MSTGAD,78e0344a,MSDS,FITS_Legendre,fourier,false,FreDF-style,1.0,0.0,LPF,linear_attn,pr:0.9185  rc:0.9612  auc:0.9977 ap:0.9784 f1: 0.9394 pred_right: 16365 pred_wrong:135 actu_right: 16371 actu_wrong: 129,44038,9604,34434,24.313316543102264,1.983621710157651,35.83642578125,8.596309914392265,2968.13671875,504.12838036569167,116.32898417561266,0.11718741158183861,0.5587601444354973,0.044038,31.326,30.625152587890625,35.58349609375,1.0,RQ2z5_basis_degree_comparison_2,3,True,3,10
MSTGAD,73f9d547,MSDS,FITS_Legendre,hermite,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9545  rc:0.9767  auc:0.9970 ap:0.9748 f1: 0.9655 pred_right: 16368 pred_wrong:132 actu_right: 16371 actu_wrong: 129,43981,9547,34434,20.940431039333344,0.3995519662003138,36.4921875,0.8363914717761471,2916.4453125,2502.8033512383067,1195.6123821736446,0.0250882675096839,0.05436544566544956,0.043981,48.361,16.6670560836792,36.2392578125,1.0,RQ2z5_basis_degree_comparison_2,3,True,3,10
MSTGAD,586641c4,MSDS,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.8714  rc:0.9457  auc:0.9796 ap:0.9497 f1: 0.9071 pred_right: 16360 pred_wrong:140 actu_right: 16371 actu_wrong: 129,43981,9547,34434,16.795893704096475,0.7331387553468693,36.4921875,1.3546872409745312,2901.95703125,1363.998278234344,738.1777651353849,0.046290381012601335,0.08805467066334452,0.043981,48.361,21.611595153808594,36.2392578125,1.0,RQ2z5_basis_degree_comparison_2,3,True,3,10
MSTGAD,e038827e,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9552  rc:0.9922  auc:0.9999 ap:0.9871 f1: 0.9734 pred_right: 16366 pred_wrong:134 actu_right: 16371 actu_wrong: 129,43981,9547,34434,32.72114776611328,1.4803253009657054,36.4921875,2.974584440378393,2885.8359375,675.52719618292,336.18141291453514,0.08565310223917669,0.19334798862459557,0.043981,48.361,42.79942512512207,36.2392578125,1.0,RQ2z5_basis_degree_comparison_2,3,True,3,10
MSTGAD,27e258fe,MSDS,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9624  rc:0.9922  auc:0.9999 ap:0.9822 f1: 0.9771 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,43981,9547,34434,18.512956569194795,0.5118867517301442,35.603515625,0.6091373806147966,2927.859375,1953.5571034414634,1641.6657913699362,0.031566008432191074,0.03959392973996178,0.043981,48.361,13.527584075927734,35.3505859375,1.0,RQ2z5_basis_degree_comparison_2,3,True,3,10
MSTGAD,30635a0d,MSDS,FITS_Legendre,fourier,false,FreDF-style,1.0,0.0,LPF,linear_attn,pr:0.9552  rc:0.9922  auc:0.9979 ap:0.9805 f1: 0.9734 pred_right: 16366 pred_wrong:134 actu_right: 16371 actu_wrong: 129,44366,9932,34434,19.717893579006194,0.7389252383909892,35.83837890625,0.9025538388085237,2915.3515625,1353.3168824731194,1107.9671450072349,0.0493912407845305,0.05866599952255404,0.044366,33.726,26.27403736114502,35.58544921875,1.0,RQ2z5_basis_degree_comparison_2,3,True,7,10
MSTGAD,ca9b05c8,MSDS,FITS_Legendre,hermite,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.8014  rc:0.9070  auc:0.9835 ap:0.9090 f1: 0.8509 pred_right: 16354 pred_wrong:146 actu_right: 16371 actu_wrong: 129,44065,9631,34434,16.160736855665842,0.829928911736962,36.4921875,1.3720930798354436,2947.640625,1204.9224769228674,728.8135292686783,0.04796781627611706,0.08918605018930384,0.044065,49.561,9.590339660644531,36.2392578125,1.0,RQ2z5_basis_degree_comparison_2,3,True,7,10
MSTGAD,6759187e,MSDS,FITS_Legendre,laguerre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.8952  rc:0.8605  auc:0.9758 ap:0.9502 f1: 0.8775 pred_right: 16376 pred_wrong:124 actu_right: 16371 actu_wrong: 129,44065,9631,34434,10.550223593711854,0.32098757144725043,36.4921875,0.4565736453688508,2928.8359375,3115.3854197259325,2190.227163007039,0.015315600984034108,0.029677286948975302,0.044065,49.561,10.639667510986328,36.2392578125,1.0,RQ2z5_basis_degree_comparison_2,3,True,7,10
MSTGAD,480694ed,MSDS,FITS_Legendre,legendre,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9007  rc:0.9845  auc:0.9978 ap:0.9702 f1: 0.9407 pred_right: 16359 pred_wrong:141 actu_right: 16371 actu_wrong: 129,44065,9631,34434,11.184100290934245,0.3522960893137328,36.4921875,0.5584300383791835,2996.1328125,2838.5214322077322,1790.7346153914862,0.016747275345751572,0.03629795249464693,0.044065,49.561,11.54468059539795,36.2392578125,1.0,RQ2z5_basis_degree_comparison_2,3,True,7,10
MSTGAD,c3c1d02f,MSDS,FITS_Legendre,chebyshev,false,Legendre-style,1.0,0.0,LPF,linear_attn,pr:0.9338  rc:0.9845  auc:0.9979 ap:0.9754 f1: 0.9585 pred_right: 16364 pred_wrong:136 actu_right: 16371 actu_wrong: 129,44065,9631,34434,11.057451101144155,0.37142709024067916,35.603515625,0.5336375701092562,2908.390625,2692.3184287716194,1873.9310273736187,0.01762105830165318,0.034686442057101655,0.044065,49.561,11.85915470123291,35.3505859375,1.0,RQ2z5_basis_degree_comparison_2,3,True,7,10
