model,hash_id,datasource,FREQ_DOMAIN,basis_type,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,filter_used,modules_attn,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),throughput_samples_per_sec (GPU),throughput_samples_per_sec (CPU),energy_per_sample_joules (GPU),energy_per_sample_joules (CPU),(benchmark_result) parameters_million,(benchmark_result) flops_million,(benchmark_result) inference_time_ms,(benchmark_result) inference_memory_mb,fewshot_ratio,experiment_name,random_seed,use_normlin,degree
MSTGAD,87e0d6ae,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9753  rc:0.9525  auc:0.9956 ap:0.9916 f1: 0.9638 pred_right: 17905 pred_wrong:1295 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.706274844010671,0.10945482985008634,41.859375,0.20865124743819166,1741.09375,9136.18888604221,4792.6864194580385,0.00565323250692711,0.013562331083482457,0.004613,40.8768,17.685747146606445,41.58203125,1.0,RQ3_sensitivity,1,True,1
MSTGAD,1d89d6ca,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9753  rc:0.9525  auc:0.9956 ap:0.9916 f1: 0.9638 pred_right: 17905 pred_wrong:1295 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.7117198181152344,0.13467090808417354,41.859375,0.2685256182828689,1733.08203125,7425.508702851908,3724.0394655625933,0.006946864122614008,0.017454165188386477,0.004613,40.8768,8.574986457824707,41.58203125,1.0,RQ3_sensitivity,1,True,3
MSTGAD,aaf887d3,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9753  rc:0.9525  auc:0.9956 ap:0.9916 f1: 0.9638 pred_right: 17905 pred_wrong:1295 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.7276912434895833,0.13787067524393753,41.859375,0.2667222501830692,1737.07421875,7253.174021456547,3749.2185196909277,0.007088207155641317,0.017336946261899498,0.004613,40.8768,8.41073989868164,41.58203125,1.0,RQ3_sensitivity,1,True,5
MSTGAD,ad4613a5,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9753  rc:0.9525  auc:0.9956 ap:0.9916 f1: 0.9638 pred_right: 17905 pred_wrong:1295 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.7941748611132304,0.3326071128913213,41.859375,1.1245316150141698,1733.27734375,3006.5502547648402,889.2591249979214,0.01677187997110132,0.07309455497592103,0.004613,40.8768,20.96426486968994,41.58203125,1.0,RQ3_sensitivity,1,True,7
MSTGAD,87e0d6ae,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9753  rc:0.9532  auc:0.9950 ap:0.9911 f1: 0.9641 pred_right: 17904 pred_wrong:1296 actu_right: 17874 actu_wrong: 1326,4561,1471,3090,1.8378308121363323,0.1217416093523702,41.859375,0.1944384968712864,1735.0703125,8214.118453992089,5143.014454910007,0.006269571140037713,0.012638502296633616,0.004561,34.7328,7.14111328125,41.58203125,1.0,RQ3_sensitivity,1,True,1
MSTGAD,680ba932,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9322  rc:0.9781  auc:0.9994 ap:0.9951 f1: 0.9546 pred_right: 454264 pred_wrong:15536 actu_right: 454992 actu_wrong: 14808,14790,1471,13319,23.719686584472655,0.23765559409981343,138.791015625,0.7833735403593044,5679.05859375,4207.769666806194,1276.5302227866123,0.014770889312288656,0.05091928012335478,0.01479,253.3716,11.534929275512695,131.52587890625,1.0,RQ3_sensitivity,1,True,1
MSTGAD,42a4c3b9,TT,FITS_Legendre,legendre,false,Legendre-style,1.0,0.1,LPF,linear_attn,pr:0.9412  rc:0.9691  auc:0.9995 ap:0.9947 f1: 0.9549 pred_right: 454554 pred_wrong:15246 actu_right: 454992 actu_wrong: 14808,14892,1573,13319,23.054812994003296,0.19163983735917767,138.791015625,0.8152185433493964,5750.7421875,5218.121731786733,1226.6649331741314,0.011707852583784243,0.052989205317710765,0.014892,274.5396,21.97697162628174,131.52587890625,1.0,RQ3_sensitivity,1,True,7
MSTGAD,96674f08,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.01,LPF,linear_attn,pr:0.9467  rc:0.9238  auc:0.9940 ap:0.9868 f1: 0.9351 pred_right: 17906 pred_wrong:1294 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.8702704429626464,0.12286600893760677,41.859375,0.2987631289504216,1731.87109375,8138.947530295504,3347.133240681602,0.00634449353651567,0.019419603381777405,0.004613,40.8768,9.928297996520996,41.58203125,1.0,RQ3_sensitivity,1,True,5
MSTGAD,599afd8d,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.2,LPF,linear_attn,pr:0.9734  rc:0.9653  auc:0.9946 ap:0.9916 f1: 0.9693 pred_right: 17885 pred_wrong:1315 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.8593964719772338,0.15306092215236,41.859375,0.2698406745334927,1757.56640625,6533.346238464312,3705.890528656679,0.00789044359787631,0.017539643844677023,0.004613,40.8768,9.804415702819824,41.58203125,1.0,RQ3_sensitivity,1,True,5
MSTGAD,51f18175,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,0.5,LPF,linear_attn,pr:0.9787  rc:0.9698  auc:0.9961 ap:0.9937 f1: 0.9742 pred_right: 17886 pred_wrong:1314 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.8748547397810837,0.4320446610521576,41.859375,0.9171228924466256,1734.453125,2314.5755292165904,1090.3664146167823,0.021600936918624723,0.059612988009030664,0.004613,40.8768,15.820860862731934,41.58203125,1.0,RQ3_sensitivity,1,True,5
MSTGAD,f24b9d71,SN,FITS_Legendre,legendre,false,Legendre-style,1.0,1.0,LPF,linear_attn,pr:0.9713  rc:0.9698  auc:0.9954 ap:0.9918 f1: 0.9706 pred_right: 17876 pred_wrong:1324 actu_right: 17874 actu_wrong: 1326,4613,1523,3090,1.8891997901598612,0.1278430215673509,41.859375,0.30161083559159785,1732.5703125,7822.092967922969,3315.530750208424,0.006573304639928481,0.01960470431345386,0.004613,40.8768,9.298276901245117,41.58203125,1.0,RQ3_sensitivity,1,True,5
