model,hash_id,FREQ_DOMAIN,MULTI_FITS,req_loss_approach,rec_lambda,auxi_lambda,info_dict,total_params,reconstruction_params,common_params,training_time_per_epoch,inference_time_per_sample_ms (GPU),peak_memory_mb (GPU),inference_time_per_sample_ms (CPU),peak_memory_mb (CPU),fewshot_ratio,random_seed
MSTGAD,1d1448ff,Eadro,false,Legendre-style,1.0,0.1,pr:0.9203  rc:0.9845  auc:0.9979 ap:0.9799 f1: 0.9513 pred_right: 16362 pred_wrong:138 actu_right: 16371 actu_wrong: 129,239852,196856,42996,4.263125998333162,0.15010628070363868,29.5517578125,0.20050225825061788,3284.86328125,1.0,1
MSTGAD,a3b2fb39,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.9453  rc:0.9380  auc:0.9948 ap:0.9582 f1: 0.9416 pred_right: 16372 pred_wrong:128 actu_right: 16371 actu_wrong: 129,63849,20853,42996,5.3877991414070125,0.21827052926418672,32.9228515625,0.33262826266291606,3090.4765625,1.0,1
MSTGAD,31c17f1f,encoder_decoder,false,Legendre-style,1.0,0.1,pr:0.9535  rc:0.9535  auc:0.9926 ap:0.9794 f1: 0.9535 pred_right: 16371 pred_wrong:129 actu_right: 16371 actu_wrong: 129,71372,28376,42996,17.14562405252749,0.5238491316006986,48.6474609375,1.5544966174967618,3120.08203125,1.0,1
MSTGAD,d3c2e2dc,FITS_Legendre,false,Legendre-style,1.0,0.1,pr:0.9528  rc:0.9380  auc:0.9861 ap:0.9682 f1: 0.9453 pred_right: 16373 pred_wrong:127 actu_right: 16371 actu_wrong: 129,44066,1070,42996,7.449424080053965,0.411864687138094,43.03173828125,0.5493603704649748,3091.98046875,1.0,1
MSTGAD,2fd3f556,iTransformer,false,Legendre-style,1.0,0.1,pr:0.8571  rc:0.9767  auc:0.9977 ap:0.9517 f1: 0.9130 pred_right: 16353 pred_wrong:147 actu_right: 16371 actu_wrong: 129,246082,203086,42996,9.26860870440801,0.46871716578563954,52.04541015625,1.1429666261507663,3285.32421875,1.0,1
MSTGAD,bd0da7db,FreTS,false,Legendre-style,1.0,0.1,pr:0.9104  rc:0.9457  auc:0.9979 ap:0.9768 f1: 0.9278 pred_right: 16366 pred_wrong:134 actu_right: 16371 actu_wrong: 129,45530,2534,42996,6.722572949727376,0.3454702574552638,43.04345703125,0.5069764445658864,3094.66015625,1.0,1
MSTGAD,de0c19f7,DLinear,false,Legendre-style,1.0,0.1,pr:0.9618  rc:0.9767  auc:0.9979 ap:0.9833 f1: 0.9692 pred_right: 16369 pred_wrong:131 actu_right: 16371 actu_wrong: 129,44180,1184,42996,6.074681157271067,0.33270114093787356,43.02978515625,0.3913144329958025,3083.6484375,1.0,1
MSTGAD,04fbceaf,FEDformerModel,false,Legendre-style,1.0,0.1,pr:0.9000  rc:0.6977  auc:0.9871 ap:0.9407 f1: 0.7860 pred_right: 16400 pred_wrong:100 actu_right: 16371 actu_wrong: 129,61260,18264,42996,18.14911649010398,0.8053827097653915,44.0546875,1.202732378041324,3274.7265625,1.0,1
MSTGAD,6cf3738c,Eadro,false,Legendre-style,1.0,0.1,pr:0.9549  rc:0.9845  auc:0.9960 ap:0.9856 f1: 0.9695 pred_right: 16367 pred_wrong:133 actu_right: 16371 actu_wrong: 129,239852,196856,42996,4.1886670250951505,0.1517790835985365,29.5517578125,0.18644553775639144,3270.36328125,1.0,2
MSTGAD,8f37cba4,AnoFusion,false,Legendre-style,1.0,0.1,pr:0.9225  rc:0.9225  auc:0.9957 ap:0.9531 f1: 0.9225 pred_right: 16371 pred_wrong:129 actu_right: 16371 actu_wrong: 129,63849,20853,42996,5.391198860009511,0.2256542873895603,32.9228515625,0.3456140946857386,3084.58203125,1.0,2
